Date,Open,High,Low,Close,Adj Close,Volume
2020-09-15,5748.000000,5789.000000,5575.000000,5663.000000,5663.000000,7370
2020-09-16,5849.000000,5897.000000,5700.000000,5710.000000,5710.000000,11423
2020-09-17,5688.000000,5688.000000,5433.500000,5534.000000,5534.000000,7329
2020-09-18,5597.000000,5597.000000,5417.000000,5545.500000,5545.500000,4969
2020-09-21,5544.000000,5785.000000,5400.000000,5765.000000,5765.000000,5362
2020-09-22,5872.000000,6375.000000,5800.000000,6343.000000,6343.000000,11914
2020-09-23,6339.000000,6375.000000,6152.000000,6262.500000,6262.500000,13486
2020-09-24,6350.000000,6390.000000,5946.500000,6060.000000,6060.000000,9483
2020-09-25,6100.000000,6300.000000,6070.000000,6271.000000,6271.000000,8218
2020-09-28,6321.000000,6446.000000,6236.000000,6427.500000,6427.500000,7217
2020-09-29,6450.000000,6500.000000,6363.000000,6466.000000,6466.000000,10664
2020-09-30,6500.000000,6625.500000,6350.000000,6375.000000,6375.000000,11712
2020-10-01,6472.000000,6600.000000,6388.000000,6562.000000,6562.000000,6279
2020-10-02,6495.000000,6618.000000,6420.000000,6579.500000,6579.500000,13918
2020-10-05,6579.500000,6775.000000,6579.500000,6754.500000,6754.500000,6636
2020-10-06,6668.000000,6751.000000,6506.000000,6538.000000,6538.000000,8538
2020-10-07,6600.000000,6775.000000,6600.000000,6735.500000,6735.500000,5884
2020-10-08,6775.000000,6816.500000,6729.000000,6789.000000,6789.000000,9142
2020-10-09,6870.000000,7185.000000,6800.000000,7166.000000,7166.000000,10681
2020-10-13,7280.000000,7700.000000,7280.000000,7678.500000,7678.500000,14060
2020-10-14,7695.000000,7766.000000,7500.000000,7745.500000,7745.500000,16861
2020-10-15,7668.500000,7966.000000,7601.000000,7938.000000,7938.000000,14061
2020-10-16,8178.000000,8178.000000,7650.000000,7650.000000,7650.000000,14781
2020-10-19,7800.000000,7800.000000,7338.000000,7392.500000,7392.500000,16280
2020-10-20,7392.000000,7741.500000,7297.000000,7702.000000,7702.000000,10918
2020-10-21,7780.000000,8065.000000,7705.500000,7942.500000,7942.500000,11567
2020-10-22,3980.000000,4150.000000,3800.000000,4112.000000,4112.000000,46962
2020-10-23,4200.000000,4250.000000,3880.000000,4064.000000,4064.000000,20807
2020-10-26,4080.000000,4149.000000,3653.500000,3745.000000,3745.000000,36027
2020-10-27,3750.000000,3861.000000,3745.000000,3787.000000,3787.000000,20407
2020-10-28,3750.000000,3780.000000,3464.000000,3550.500000,3550.500000,29789
2020-10-29,3600.000000,3600.000000,3389.500000,3584.500000,3584.500000,24915
2020-10-30,3450.500000,3450.500000,3245.000000,3263.000000,3263.000000,26263
2020-11-02,3263.000000,3263.000000,3060.000000,3175.500000,3175.500000,19404
2020-11-03,3175.500000,3351.500000,3160.000000,3306.500000,3306.500000,14233
2020-11-04,3380.000000,3475.500000,3351.000000,3402.500000,3402.500000,21834
2020-11-05,3545.000000,3579.000000,3450.000000,3551.500000,3551.500000,16386
2020-11-06,3567.000000,3567.000000,3391.500000,3454.000000,3454.000000,6390
2020-11-09,3450.000000,3450.000000,3217.000000,3343.000000,3343.000000,16731
2020-11-10,3280.000000,3280.000000,3110.000000,3167.000000,3167.000000,20925
2020-11-11,3168.000000,3300.000000,3167.000000,3274.000000,3274.000000,12010
2020-11-12,3320.000000,3320.000000,3190.000000,3231.500000,3231.500000,11325
2020-11-13,3250.000000,3347.500000,3184.000000,3220.500000,3220.500000,7130
2020-11-16,3200.000000,3261.000000,3162.000000,3197.500000,3197.500000,7708
2020-11-17,3250.000000,3330.000000,3250.000000,3313.000000,3313.000000,8545
2020-11-18,3348.000000,3348.000000,3223.000000,3270.500000,3270.500000,10776
2020-11-19,3300.000000,3326.000000,3252.000000,3278.000000,3278.000000,12891
2020-11-20,3316.500000,3355.500000,3243.000000,3322.000000,3322.000000,9685
